0,1
will,145
where,144
wheat,143
what,142
was,141
videography,140
used,139
underway,138
ukraine,137
troubles,136
tripura,135
tight,133
that,132
terror,131
temperature,130
telangana,129
teething,128
tantrik,127
survey,126
surgeon,125
supermarket,124
sunday,123
stop,122
sticky,121
state,120
sources,119
son,118
soars,117
shooting,116
shireen,115
shah,114
security,113
second,112
say,111
saturday,110
said,109
saha,108
rice,107
rape,106
rajasthan,105
racially,104
quota,103
putin,102
purchase,101
prices,100
points,99
owner,98
overthrow,97
over,96
outbreak,95
orange,94
off,92
now,90
notice,89
not,88
north,87
new,86
muslim,85
mundka,84
motivated,83
mosque,82
minister,81
manish,80
manik,79
man,78
lose,77
ll,76
led,75
leave,74
lakra,73
korea,72
kills,71
killed,70
kcr,69
katra,68
jabs,67
issued,66
israel,65
is,64
intrusion,63
india,62
in,61
impossible,60
he,59
gyanvapi,58
gunman,57
govt,56
general,55
funeral,54
found,53
for,52
fire,51
fever,50
fall,49
faces,48
export,47
explained,46
exclusive,45
end,44
due,43
door,42
dental,41
delhi,40
degrees,39
deaths,38
day,37
crisis,36
covid,35
coup,34
cops,33
continues,32
condemns,31
cm,30
celsius,29
case,28
by,27
bus,26
building,25
buffalo,24
bombs,23
blinken,22
blast,21
bjp,20
biplab,19
because,18
ban,17
attack,16
at,15
arrested,14
antony,13
and,12
amit,11
amid,10
all,9
alert,8
akleh,7
abu,6
above,5
47,4
40,3
27,2
1st,1
10,0
